Energy_MeV,NIEL_MeVcm2_g
1.00E-04,0.00E+00
1.50E-04,0.00E+00
2.00E-04,0.00E+00
2.50E-04,0.00E+00
3.00E-04,0.00E+00
3.50E-04,0.00E+00
4.00E-04,0.00E+00
4.50E-04,4.96E-02
5.00E-04,1.04E-01
5.50E-04,1.50E-01
6.00E-04,1.90E-01
6.50E-04,2.26E-01
7.00E-04,2.60E-01
7.50E-04,2.90E-01
8.00E-04,3.17E-01
8.50E-04,3.42E-01
9.00E-04,3.64E-01
9.50E-04,3.83E-01
1.00E-03,4.01E-01
1.50E-03,6.03E-01
2.00E-03,7.68E-01
2.50E-03,8.61E-01
3.00E-03,9.15E-01
3.50E-03,9.46E-01
4.00E-03,9.63E-01
4.50E-03,9.70E-01
5.00E-03,9.71E-01
5.50E-03,9.68E-01
6.00E-03,9.62E-01
6.50E-03,9.54E-01
7.00E-03,9.45E-01
7.50E-03,9.34E-01
8.00E-03,9.23E-01
8.50E-03,9.12E-01
9.00E-03,9.00E-01
9.50E-03,8.88E-01
1.00E-02,8.76E-01
1.50E-02,7.68E-01
2.00E-02,6.81E-01
2.50E-02,6.13E-01
3.00E-02,5.58E-01
3.50E-02,5.13E-01
4.00E-02,4.75E-01
4.50E-02,4.43E-01
5.00E-02,4.16E-01
5.50E-02,3.92E-01
6.00E-02,3.71E-01
6.50E-02,3.52E-01
7.00E-02,3.35E-01
7.50E-02,3.20E-01
8.00E-02,3.06E-01
8.50E-02,2.94E-01
9.00E-02,2.83E-01
9.50E-02,2.72E-01
1.00E-01,2.63E-01
1.50E-01,1.96E-01
2.00E-01,1.58E-01
2.50E-01,1.33E-01
3.00E-01,1.15E-01
3.50E-01,1.02E-01
4.00E-01,9.14E-02
4.50E-01,8.31E-02
5.00E-01,7.63E-02
5.50E-01,7.06E-02
6.00E-01,6.58E-02
6.50E-01,6.17E-02
7.00E-01,5.81E-02
7.50E-01,5.48E-02
8.00E-01,5.19E-02
8.50E-01,4.94E-02
9.00E-01,4.71E-02
9.50E-01,4.50E-02
1.00E+00,4.31E-02
1.50E+00,3.03E-02
2.00E+00,2.35E-02
2.50E+00,1.92E-02
3.00E+00,1.64E-02
3.50E+00,1.42E-02
4.00E+00,1.26E-02
4.50E+00,1.14E-02
5.00E+00,1.04E-02
5.50E+00,9.57E-03
6.00E+00,8.88E-03
6.50E+00,8.31E-03
7.00E+00,7.83E-03
7.50E+00,7.42E-03
8.00E+00,7.06E-03
8.50E+00,6.74E-03
9.00E+00,6.46E-03
9.50E+00,6.21E-03
1.00E+01,5.98E-03
1.50E+01,4.65E-03
2.00E+01,4.13E-03
2.50E+01,3.86E-03
3.00E+01,3.68E-03
3.50E+01,3.54E-03
4.00E+01,3.43E-03
4.50E+01,3.35E-03
5.00E+01,3.29E-03
5.50E+01,3.26E-03
6.00E+01,3.23E-03
6.50E+01,3.22E-03
7.00E+01,3.21E-03
7.50E+01,3.21E-03
8.00E+01,3.21E-03
8.50E+01,3.21E-03
9.00E+01,3.21E-03
9.50E+01,3.21E-03
1.00E+02,3.21E-03
1.50E+02,3.18E-03
2.00E+02,3.19E-03
2.50E+02,3.24E-03
3.00E+02,3.31E-03
3.50E+02,3.39E-03
4.00E+02,3.49E-03
4.50E+02,3.60E-03
5.00E+02,3.73E-03
5.50E+02,3.87E-03
6.00E+02,4.00E-03
6.50E+02,4.13E-03
7.00E+02,4.23E-03
7.50E+02,4.30E-03
8.00E+02,4.34E-03
8.50E+02,4.35E-03
9.00E+02,4.36E-03
9.50E+02,4.39E-03
1.00E+03,4.49E-03
