Energy_MeV,NIEL_MeVcm2_g,,
1.00E-01,0.00E+00,,
1.50E-01,0.00E+00,,
2.00E-01,0.00E+00,,
2.50E-01,0.00E+00,,
3.00E-01,0.00E+00,,
3.50E-01,0.00E+00,,
4.00E-01,0.00E+00,,
4.50E-01,0.00E+00,,
5.00E-01,8.29E-08,,
5.50E-01,4.07E-07,,
6.00E-01,7.62E-07,,
6.50E-01,1.13E-06,,
7.00E-01,1.74E-06,,
7.50E-01,2.56E-06,,
8.00E-01,3.47E-06,,
8.50E-01,4.43E-06,,
9.00E-01,5.42E-06,,
9.50E-01,6.42E-06,,
1.00E+00,7.43E-06,,
1.50E+00,1.68E-05,,
2.00E+00,2.44E-05,,
2.50E+00,3.04E-05,,
3.00E+00,3.54E-05,,
3.50E+00,3.97E-05,,
4.00E+00,4.33E-05,,
4.50E+00,4.66E-05,,
5.00E+00,4.94E-05,,
5.50E+00,5.20E-05,,
6.00E+00,5.43E-05,,
6.50E+00,5.64E-05,,
7.00E+00,5.83E-05,,
7.50E+00,6.01E-05,,
8.00E+00,6.18E-05,,
8.50E+00,6.33E-05,,
9.00E+00,6.48E-05,,
9.50E+00,6.61E-05,,
1.00E+01,6.74E-05,,
1.50E+01,7.70E-05,,
2.00E+01,8.31E-05,,
2.50E+01,8.72E-05,,
3.00E+01,9.00E-05,,
3.50E+01,9.20E-05,,
4.00E+01,9.34E-05,,
4.50E+01,9.43E-05,,
5.00E+01,9.49E-05,,
5.50E+01,9.53E-05,,
6.00E+01,9.54E-05,,
6.50E+01,9.55E-05,,
7.00E+01,9.55E-05,,
7.50E+01,9.54E-05,,
8.00E+01,9.53E-05,,
8.50E+01,9.51E-05,,
9.00E+01,9.50E-05,,
9.50E+01,9.48E-05,,
1.00E+02,9.46E-05,,
1.50E+02,9.31E-05,,
2.00E+02,9.22E-05,,
2.50E+02,9.16E-05,,
3.00E+02,9.11E-05,,
3.50E+02,9.08E-05,,
4.00E+02,9.06E-05,,
4.50E+02,9.04E-05,,
5.00E+02,9.02E-05,,
5.50E+02,9.01E-05,,
6.00E+02,9.00E-05,,
6.50E+02,8.99E-05,,
7.00E+02,8.98E-05,,
7.50E+02,8.98E-05,,
8.00E+02,8.97E-05,,
8.50E+02,8.97E-05,,
9.00E+02,8.96E-05,,
9.50E+02,8.96E-05,,
1.00E+03,8.95E-05,,
1.50E+03,8.93E-05,,
2.00E+03,8.92E-05,,
2.50E+03,8.91E-05,,
3.00E+03,8.91E-05,,
3.50E+03,8.91E-05,,
4.00E+03,8.90E-05,,
4.50E+03,8.90E-05,,
5.00E+03,8.90E-05,,
5.50E+03,8.90E-05,,
6.00E+03,8.90E-05,,
6.50E+03,8.90E-05,,
7.00E+03,8.90E-05,,
7.50E+03,8.89E-05,,
8.00E+03,8.89E-05,,
8.50E+03,8.89E-05,,
9.00E+03,8.89E-05,,
9.50E+03,8.89E-05,,
1.00E+04,8.89E-05,,
